URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/ConsentManagement/CodeSystem/QuestionnaireComponents,2.0.2,active,,QuestionnaireProfileType,,"Typen der Questionnaire-Profile zur Unterscheidung als Suchkriterium","ValueSet/ConsentComponentTypeVS"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/PolicyStatusVS,ValueSet/marital-status"
https://ths-greifswald.de/fhir/CodeSystem/dispatcher/IdatElements,2025.2.0,active,,IdatElements,,"Element names for use in $requestTasks operation.","ValueSet/IdatElementsVS"
https://ths-greifswald.de/fhir/CodeSystem/epix/BloomfilterType,2025.2.0,active,,BloomfilterType,,"Types of Bloomfilters.","ValueSet/BloomfilterTypeVS"
https://ths-greifswald.de/fhir/CodeSystem/epix/MatchStatus,2025.2.0,active,,MatchStatus,,"Possible match statuses in the context of adding patient identities.","ValueSet/MatchStatusVS"
https://ths-greifswald.de/fhir/CodeSystem/epix/SaveAction,2025.2.0,active,,SaveAction,,"Possible save actions in the context of adding patient identities.","ValueSet/SaveActionVS"
https://ths-greifswald.de/fhir/CodeSystem/gics/ConsentComponentType,2025.2.0,active,,ConsentComponentType,,"Typen der für gICS relevanten Consent-Componenten zur Unterscheidung als Suchkriterium","ValueSet/ConsentComponentTypeVS"
https://ths-greifswald.de/fhir/CodeSystem/gics/ConsentStatus,2025.2.0,active,,ConsentStatus,," consent states are used to depict the participant’s will. Therefore, documentation should allow different status values. Further details from https://doi.org/10.1186/s12967-020-02457-y","ValueSet/ConsentStatusConsentOptOutFullValuesVS,ValueSet/ConsentStatusVS,ValueSet/ConsentStatusWithdrawalFullValuesVS,ValueSet/ConsentStatusRefusalFullValuesVS,ValueSet/ConsentStatusWithdrawalShortValuesVS,ValueSet/ConsentStatusConsentShortValuesVS,ValueSet/ConsentStatusConsentFullValuesVS,ValueSet/ConsentStatusObjectionFullValuesVS,ValueSet/ConsentStatusRefusalShortValuesVS,ValueSet/ConsentStatusObjectionShortValuesVS,ValueSet/ConsentStatusConsentOptOutShortValuesVS"
https://ths-greifswald.de/fhir/CodeSystem/gics/IdMatchingType,2025.2.0,active,,IdMatchingType,,"ID matching types used in consent management","ValueSet/IdMatchingTypeVS"
https://ths-greifswald.de/fhir/CodeSystem/gics/Policy,2025.2.0,active,,Policy,,"Policies used in consent management","ValueSet/PolicyVS"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/iso3166-1-2"
